RAPiD Geno. Code,Code,RNA Removed?,Genomified?,Taxonomy,,,,,,
HOG_106201_P003_WC06,EP429,y,y,EP429_Ephemeroptera_Pisciformat_NA_Siphlonuridae_Siphlonisca_aerodromia,,,,,,
HOG_106201_P003_WD06,EP430,y,n,EP430_Ephemeroptera_Furcatergalia_Ephemerelloidea_Melanemerellidae_Melanemerella_brasiliana,,,,,,
HOG_106201_P003_WE06,EP431,y,n,EP431_Ephemeroptera_Furcatergalia_NA_Polymitarcidae_Asthenopodes_sp.,,,,,,
HOG_106201_P003_WF06,EP432,n,n,EP432_Ephemeroptera_Furcatergalia_NA_Polymitarcidae_Campsursus_sp.,,,,,,
HOG_106201_P003_WG06,EP433,y,n,EP433_Ephemeroptera_Furcatergalia_Caenoidea_Coryphoridae_Coryphorus_sp.,,,,,,
HOG_106201_P003_WH06,EP434,y,n,EP434_Ephemeroptera_Furcatergalia_Ephemerelloidea_Leptohyphidae_Haplohyphes_sp.,,,,,,
HOG_106201_P003_WA07,EP435,n,y,EP435_Ephemeroptera_Furcatergalia_Ephemerelloidea_Leptohyphidae_Macanuhyphes_australis,,,,,,
HOG_106201_P003_WB07,EP436,n,y,EP436_Ephemeroptera_Furcatergalia_Ephemerelloidea_Leptohyphidae_Amanahyphes_saguasu,,,,,,
HOG_106201_P003_WC07,EP437,n,y,EP437_Ephemeroptera_Furcatergalia_Ephemerelloidea_Leptohyphidae_Tricorythopsis_sp.,,,,,,
HOG_106201_P003_WD07,EP438,n,y,EP438_Ephemeroptera_Furcatergalia_Ephemerelloidea_Leptohyphidae_Tricorythodes_sp.aff quizeri,,,,,,
HOG_106201_P003_WE07,EP439,y,y,EP439_Ephemeroptera_Pisciforma_NA_Baetidae_Mayobaetis_ellenae,,,,,,
HOG_106201_P003_WF07,EP440,y,y,EP440_Ephemeroptera_Pisciforma_NA_Baetidae_Nanomis_galera,,,,,,
HOG_106201_P003_WG07,EP442,n,y,EP442_Ephemeroptera_Furcatergalia_Leptophlebioidea_Leptophlebiidae_Atapoplebia_caldasi,,,,,,
HOG_106201_P003_WH07,EP443,n,y,EP443_Ephemeroptera_Furcatergalia_Ephemerelloidea_Dicercomyzidae_Dicercomyzon_sp.,,,,,,
HOG_106201_P003_WA08,EP445,n,y,EP445_Ephemeroptera_Furcatergalia_Ephemerelloidea_Machadorythidae_Unknown_sp.,,,,,,
HOG_106201_P003_WB08,EP447,y,y,EP447_Ephemeroptera_Furcatergalia_Ephemerelloidea_Teloganodidae_Ephemerellina_barnardi,,,,,,
HOG_106201_P003_WC08,EP449,n,y,EP449_Ephemeroptera_Furcatergalia_Ephemerelloidea_Vietnamellidae_Vietnamella_sinensis,,,,,,
HOG_106201_P003_WD08,EP450,y,y,EP450_Ephemeroptera_Furcatergalia_NA_Ephemeridae_Eatonica_sp.,,,,,,
HOG_106201_P003_WE08,EP451,y,y,EP451_Ephemeroptera_Setisura_NA_Isonychiidae_unknown_sp.,,,,,,
HOG_106201_P003_WF08,EP452,y,y,EP452_Ephemeroptera_Unknown,,,,,,
HOG_106201_P003_WG08,EP453,n,y,EP453_Ephemeroptera_Setisura_NA_Isonychiidae_unknown_sp.2,,,,,,
HOG_106201_P003_WH08,EP454,y,y,EP454_Ephemeroptera_Furcatergalia_Caenoidea_Unknown_sp.,,,,,,
HOG_106201_P03_WA09,,,,,,,,,,
HOG_106201_P03_WB09,,,,,,,,,,
HOG_106201_P03_WC09,,,,,,,,,,
HOG_106201_P03_WD09,,,,,,,,,,
HOG_106201_P03_WE09,,,,,,,,,,
HOG_106201_P03_WF09,,,,,,,,,,
HOG_106201_P03_WG09,,,,,,,,,,
HOG_106201_P03_WH09,,,,,,,,,,
HOG_106201_P03_WA10,,,,,,,,,,
HOG_106201_P03_WB10,,,,,,,,,,
HOG_106201_P03_WC10,,,,,,,,,,
HOG_106201_P03_WD10,,,,,,,,,,
HOG_106201_P03_WE10,,,,,,,,,,
HOG_106201_P03_WF10,,,,,,,,,,
HOG_106201_P03_WG10,,,,,,,,,,
HOG_106201_P03_WH10,,,,,,,,,,
HOG_106201_P03_WA11,,,,,,,,,,
HOG_106201_P03_WB11,,,,,,,,,,
HOG_106201_P03_WC11,,,,,,,,,,
HOG_106201_P03_WD11,,,,,,,,,,
HOG_106201_P03_WE11,,,,,,,,,,
HOG_106201_P03_WF11,,,,,,,,,,
HOG_106201_P03_WG11,,,,,,,,,,
HOG_106201_P03_WH11,,,,,,,,,,
HOG_106201_P03_WA12,,,,,,,,,,
HOG_106201_P03_WB12,,,,,,,,,,
HOG_106201_P03_WC12,,,,,,,,,,
HOG_106201_P03_WD12,,,,,,,,,,
HOG_106201_P03_WE12,,,,,,,,,,
HOG_106201_P03_WF12,,,,,,,,,,
HOG_106201_P03_WG12,,,,,,,,,,
HOG_106201_P03_WH12,,,,,,,,,,
